Rk,Team,Age,ORtg,DRtg,NRtg
1,Houston Rockets*,29.8,114.7,106.1,8.6
2,Toronto Raptors*,25.8,113.8,105.9,7.9
3,Golden State Warriors*,28.8,113.6,107.7,5.9
4,Utah Jazz*,26.7,108.4,103.9,4.5
5,Philadelphia 76ers*,25.8,109.5,105,4.5
6,Boston Celtics*,24.7,107.6,103.9,3.7
7,Oklahoma City Thunder*,27.3,110.7,107.2,3.5
8,San Antonio Spurs*,29.3,107.9,104.8,3.1
9,Portland Trail Blazers*,25.6,109.1,106.4,2.7
10,Minnesota Timberwolves*,27.1,113.4,111.1,2.3
11,Denver Nuggets,25.1,112.5,111,1.5
12,Indiana Pacers*,26.2,109.5,108.1,1.4
13,New Orleans Pelicans*,27.6,109.6,108.3,1.3
14,Cleveland Cavaliers*,30.6,112.9,111.9,1
15,Washington Wizards*,26.9,109.3,108.7,0.6
16,Miami Heat*,26.5,106.8,106.3,0.5
17,Charlotte Hornets,26.6,109.4,109.1,0.3
18,Los Angeles Clippers,27,110.3,110.2,0.1
19,Detroit Pistons,25.9,107.2,107.3,-0.1
20,Milwaukee Bucks*,25.9,109.8,110.1,-0.3
21,Los Angeles Lakers,23.7,106.5,108,-1.5
22,Dallas Mavericks,27.7,106.3,109.5,-3.2
23,New York Knicks,26.3,107.1,110.7,-3.6
24,Brooklyn Nets,25.1,106.9,110.6,-3.7
25,Orlando Magic,25.6,105.2,110.1,-4.9
26,Atlanta Hawks,25.4,105,110.6,-5.6
27,Memphis Grizzlies,26,104.5,111,-6.5
28,Chicago Bulls,24.4,103.8,110.9,-7.1
29,Sacramento Kings,26.4,103.7,111.1,-7.4
30,Phoenix Suns,23.7,103.5,112.9,-9.4
,League Average,26.6,108.6,108.6,
